date,day,tempSkin,dailyrmssd,deeprmssd,restingHeartRate,breathingRate,spo2avg
2022-06-20,10,-0.2,75.54,65.633,53,16.2,94.8
2022-06-21,11,-0.1,66.231,54.778,53,15.4,91.2
2022-06-22,12,-0.5,66.841,63.605,53,15.2,92.9
2022-06-23,13,-0.2,78.05,71.866,53,15.8,93.0
2022-06-24,14,-0.8,83.503,77.565,52,14.6,95.2
2022-06-25,15,-1.2,74.629,72.956,52,16.0,95.2
2022-06-27,17,-0.5,71.806,64.082,51,15.4,95.3
2022-06-28,18,-0.4,75.693,67.168,51,15.0,96.2
2022-06-30,20,-0.5,71.943,67.124,53,15.2,94.2
2022-07-01,21,0.1,64.065,51.507,55,15.2,94.8
2022-07-04,24,1.1,62.236,54.075,57,15.2,95.9
2022-07-05,25,0.1,64.736,60.066,58,15.6,91.6
2022-07-06,26,-0.2,45.081,40.486,60,15.4,95.4
2022-07-07,27,-1.2,56.086,43.529,60,15.8,92.8
2022-07-10,30,1.2,22.124,34.776,63,19.6,94.4
2022-07-11,31,1.3,18.617,25.596,65,19.8,93.7
2022-07-12,32,0.5,48.573,41.43,65,19.2,95.2
2022-07-13,1,1.6,27.388,33.81,68,16.8,94.6
2022-07-15,3,-0.6,59.316,53.556,63,15.2,93.2
2022-07-16,4,-0.1,72.179,70.78,61,15.4,95.6
2022-07-17,5,-0.9,73.314,59.203,59,15.8,95.5
2022-07-19,7,0.5,87.126,78.591,55,15.2,93.9
2022-07-20,8,0.3,89.572,62.656,54,16.2,94.4
2022-07-21,9,-0.4,91.604,84.115,53,15.6,95.4
2022-07-23,11,1.3,74.224,72.952,53,16.0,94.7
2022-07-25,13,0.2,75.348,64.995,53,15.4,91.0
2022-07-26,14,-0.9,79.359,70.417,54,15.4,92.5
2022-07-27,15,-1.4,63.168,60.243,55,14.8,94.9
2022-07-28,16,-1.0,77.576,64.986,55,13.4,95.0
2022-07-30,18,-0.2,81.343,75.631,55,15.8,94.2
2022-07-31,19,-0.4,77.128,72.33,55,15.6,93.5
2022-08-01,20,-0.5,66.167,58.683,56,16.4,92.0
2022-08-02,21,0.1,64.738,64.84,58,16.2,94.6
2022-08-03,22,-0.0,72.951,74.769,57,15.8,96.1
2022-08-04,23,1.7,67.759,57.243,57,16.4,93.7
2022-08-05,24,-0.1,72.107,80.493,57,15.6,93.5
2022-08-06,25,1.4,70.901,58.584,57,16.4,94.6
2022-08-07,26,0.5,52.411,53.096,59,14.4,93.1
2022-08-08,27,2.1,52.664,55.607,60,15.2,93.5
2022-08-09,28,0.6,71.021,63.453,60,17.0,92.6
2022-08-10,29,0.3,66.199,64.283,60,16.4,93.7
2022-08-11,30,-0.1,63.556,67.408,60,15.8,95.7
2022-08-12,31,0.8,61.741,58.465,59,15.2,94.4
2022-08-15,3,0.1,73.256,63.18,59,16.6,94.2
2022-08-16,4,-0.1,77.252,85.161,58,15.8,95.2
2022-08-18,6,-0.6,84.082,76.731,55,15.8,96.8
2022-08-19,7,-0.7,85.316,83.259,54,15.6,94.0
2022-08-22,10,0.1,84.302,80.727,53,15.0,94.4
2022-08-23,11,-0.1,69.41,63.527,54,15.4,92.8
2022-08-24,12,0.7,55.61,49.062,55,14.4,92.1
2022-08-26,14,1.3,73.019,67.995,55,13.8,96.5
2022-08-27,15,1.0,82.454,86.209,54,12.6,95.2
2022-08-28,16,1.3,59.635,53.755,56,14.8,93.6
2022-08-29,17,0.5,35.552,31.388,57,16.2,93.4
2022-08-30,18,2.1,16.681,22.122,61,21.6,94.3
2022-08-31,19,0.1,77.956,75.14,59,16.6,93.4
2022-09-01,20,-1.7,71.53,70.477,58,15.0,93.4
2022-09-02,21,-0.1,57.474,60.31,59,15.2,91.5
2022-09-05,24,-0.3,67.373,64.453,60,16.4,92.3
2022-09-06,25,-1.3,65.078,53.187,59,16.8,92.7
2022-09-07,26,0.1,64.93,64.016,58,15.4,97.6
2022-09-09,28,0.9,62.657,59.161,56,14.6,94.2
2022-09-11,30,0.0,60.289,57.871,57,15.6,93.7
2022-09-12,31,0.4,53.083,47.52,56,15.4,93.5
2022-09-13,32,-0.9,56.469,54.683,57,15.2,96.7
2022-09-14,33,-0.8,56.267,48.091,57,15.4,93.6
2022-09-15,34,0.1,57.473,61.917,56,15.8,94.6
2022-09-16,35,0.5,75.336,54.886,56,15.0,92.5
2022-09-17,36,1.8,58.487,60.128,57,15.8,95.8
2022-09-18,37,1.9,63.417,58.651,56,15.0,94.8
2022-09-19,38,0.4,57.834,53.594,57,15.0,94.1
2022-09-20,39,0.0,43.085,38.608,59,15.4,93.9
2022-09-21,40,1.5,45.802,46.309,61,15.6,92.6
2022-09-22,41,-0.2,39.358,39.725,61,14.0,95.2
2022-09-23,42,1.3,48.695,54.676,61,14.6,94.7
2022-09-24,43,1.2,49.563,42.828,60,15.2,93.9
2022-09-25,44,1.4,57.76,53.615,59,16.6,95.7
2022-09-26,1,0.7,60.369,56.08,58,15.6,95.3
2022-09-27,2,0.9,71.233,98.421,56,14.6,94.5
2022-09-28,3,0.4,70.699,67.521,55,15.8,94.3
2022-09-29,4,-0.0,81.211,74.502,54,15.2,94.5
2022-09-30,5,1.7,68.663,69.693,54,14.6,94.8
2022-10-01,6,0.6,67.079,114.197,54,14.0,94.8
2022-10-03,8,-0.0,82.518,64.026,53,15.6,93.4
2022-10-04,9,-0.6,75.473,63.12,54,14.4,93.1
2022-10-06,11,1.0,76.435,70.892,54,15.6,95.3
2022-10-07,12,0.6,78.45,74.847,53,15.0,93.8
2022-10-08,13,1.1,82.098,80.636,53,14.8,95.9
2022-10-10,15,-0.6,72.167,66.976,55,15.6,93.2
2022-10-11,16,0.6,69.21,64.378,55,14.4,94.6
2022-10-12,17,0.4,73.113,75.938,55,15.6,94.8
2022-10-13,18,-1.0,69.518,64.133,55,14.6,93.3
2022-10-14,19,-1.3,64.577,55.536,56,14.8,92.7
2022-10-15,20,0.6,44.314,44.999,58,13.8,94.6
2022-10-17,22,-0.1,53.73,53.27,60,15.8,93.5
2022-10-18,23,-0.8,64.232,67.869,60,15.4,93.6
2022-10-19,24,-2.6,60.569,54.784,60,16.4,94.9
2022-10-20,25,-1.0,55.909,56.456,60,16.0,94.0
2022-10-21,26,-0.3,50.416,47.348,60,14.6,93.4
2022-10-22,27,0.0,48.741,48.633,61,15.4,93.1
2022-10-24,29,-1.0,57.545,48.804,60,17.2,93.5
2022-10-25,30,-0.2,50.57,51.229,61,15.0,94.1
2022-10-26,31,0.2,55.934,53.975,62,15.2,94.2
2022-10-27,32,-0.1,53.217,63.953,61,15.4,92.8
2022-10-28,33,0.0,54.837,57.722,60,16.0,93.9
2022-10-29,34,-0.1,65.729,61.153,59,16.6,96.7
2022-10-30,35,0.6,57.37,48.68,59,15.0,92.8
2022-11-01,37,1.3,56.305,67.573,61,16.8,95.8
2022-11-02,1,0.9,61.978,62.111,59,16.4,93.4
2022-11-03,2,0.0,69.627,75.472,57,12.8,92.7
2022-11-05,4,-1.2,73.3,69.597,56,15.6,95.2
2022-11-06,5,0.3,59.701,58.431,55,14.4,92.8
2022-11-07,6,0.2,61.564,59.873,57,14.8,91.9
2022-11-08,7,0.3,69.43,63.674,56,15.4,92.3
2022-11-10,9,0.8,66.82,67.215,55,14.6,93.8
2022-11-11,10,-1.3,71.577,62.953,56,16.0,92.7
2022-11-12,11,1.0,53.632,51.555,56,14.2,94.8
2022-11-13,12,0.3,66.816,70.506,57,15.8,92.8
2022-11-14,13,0.7,71.222,66.272,56,15.6,93.7
2022-11-15,14,0.2,66.835,56.89,56,15.0,91.7
2022-11-16,15,0.5,76.203,83.82,56,15.8,92.8
2022-11-17,16,-0.1,68.877,63.767,57,16.2,97.3
2022-11-18,17,0.1,67.847,51.734,58,14.6,93.3
2022-11-19,18,0.8,59.32,49.958,58,14.8,94.5
2022-11-20,19,0.3,83.056,79.726,57,15.4,92.7
2022-11-21,20,0.0,82.976,66.972,56,15.6,90.7
