date,dailyrmssd,deeprmssd
2023-06-28,72.904,70.397
2023-06-29,68.179,65.314
2023-06-30,74.521,66.692
2023-07-01,82.261,73.231
2023-07-02,82.316,73.477
2023-07-03,71.414,65.131
2023-07-04,71.414,61.896
2023-07-05,71.785,68.558
2023-07-06,69.171,65.727
2023-07-07,71.735,63.701
2023-07-08,65.157,67.478
2023-07-09,62.824,68.81
2023-07-10,78.764,78.713
2023-07-11,78.677,75.009
2023-07-12,78.753,70.207
2023-07-13,71.051,65.48
2023-07-14,74.012,75.028
2023-07-15,60.863,81.535
2023-07-16,76.858,66.751
2023-07-17,72.0,66.646
2023-07-18,79.433,55.475
2023-07-19,72.846,71.814
2023-07-20,68.07,69.451
2023-07-21,73.447,81.537
2023-07-22,55.644,51.87
2023-07-23,69.767,64.855
2023-07-24,46.82,43.431
2023-07-25,57.261,56.822
2023-07-26,61.521,65.059
2023-07-27,65.94,68.814
2023-07-28,62.437,70.685
2023-07-29,59.756,56.139
2023-07-30,56.704,55.95
2023-07-31,51.833,40.129
2023-08-01,51.644,47.455
2023-08-02,61.756,56.518
2023-08-03,49.018,42.549
2023-08-04,58.829,60.795
2023-08-05,52.774,51.94
2023-08-06,61.337,61.387
2023-08-07,66.363,60.917
2023-08-08,70.831,58.596
2023-08-09,67.567,63.68
2023-08-10,67.722,63.775
2023-08-11,55.677,55.088
2023-08-12,0.0,85.481
2023-08-13,62.692,47.985
2023-08-14,86.03,87.652
2023-08-15,74.555,58.158
2023-08-16,89.417,71.462
2023-08-17,70.106,65.622
2023-08-18,79.756,73.879
2023-08-19,62.18,54.2
2023-08-20,59.202,51.19
2023-08-21,72.592,71.388
2023-08-22,69.931,61.877
2023-08-23,79.903,68.752
2023-08-24,77.269,63.443
2023-08-25,80.157,63.174
2023-08-26,61.951,60.212
2023-08-27,71.704,75.014
2023-08-28,46.093,46.59
2023-08-29,65.591,54.025
2023-08-30,73.511,68.686
2023-08-31,58.024,62.471
2023-09-01,46.774,47.986
2023-09-02,47.583,46.668
2023-09-03,49.826,43.856
